21-Jan-26 10:16:54 - Created path loss file ./logs/loss_log_20260121101654_.npy.npz
21-Jan-26 10:16:56 - Training model...
21-Jan-26 10:17:08 - Total Steps = 84218
21-Jan-26 10:17:08 - Input Features Shape: torch.Size([30, 4])
21-Jan-26 10:17:08 - Elevation Data Shape: torch.Size([30, 768])
21-Jan-26 10:17:08 - Path Loss Shape: torch.Size([30])
21-Jan-26 10:17:08 - extra_features_tokens.shape torch.Size([30, 512])
21-Jan-26 10:17:08 - Elevation Data Shape: torch.Size([30, 768])
21-Jan-26 10:17:08 - pos_embedded_tokens.shape torch.Size([30, 768, 512])
21-Jan-26 10:17:08 - score.shape torch.Size([30, 768, 512])
21-Jan-26 10:17:08 - hidden1.shape torch.Size([30, 768, 512])
21-Jan-26 10:17:08 - pooled_score.shape torch.Size([30, 512])
21-Jan-26 10:17:08 - hidden2.shape torch.Size([30, 2000])
21-Jan-26 10:17:08 - logits.shape torch.Size([30, 1])
21-Jan-26 11:21:42 - [Epoch=1 | Step=17400/84218] loss=0.1057
21-Jan-26 11:22:04 - [Epoch=1 | Step=17500/84218] loss=0.0436
21-Jan-26 11:22:26 - [Epoch=1 | Step=17600/84218] loss=0.0013
21-Jan-26 11:22:48 - [Epoch=1 | Step=17700/84218] loss=0.0276
21-Jan-26 11:23:10 - [Epoch=1 | Step=17800/84218] loss=0.6491
21-Jan-26 11:23:32 - [Epoch=1 | Step=17900/84218] loss=0.0469
21-Jan-26 11:23:54 - [Epoch=1 | Step=18000/84218] loss=0.0103
21-Jan-26 11:24:16 - [Epoch=1 | Step=18100/84218] loss=0.0301
21-Jan-26 11:24:39 - [Epoch=1 | Step=18200/84218] loss=0.0323
21-Jan-26 11:25:01 - [Epoch=1 | Step=18300/84218] loss=0.0012
21-Jan-26 11:25:24 - [Epoch=1 | Step=18400/84218] loss=0.3997
21-Jan-26 11:25:46 - [Epoch=1 | Step=18500/84218] loss=0.0010
21-Jan-26 11:26:08 - [Epoch=1 | Step=18600/84218] loss=0.0435
21-Jan-26 11:26:30 - [Epoch=1 | Step=18700/84218] loss=0.0232
21-Jan-26 11:26:53 - [Epoch=1 | Step=18800/84218] loss=0.0020
21-Jan-26 11:27:15 - [Epoch=1 | Step=18900/84218] loss=0.1333
21-Jan-26 11:27:37 - [Epoch=1 | Step=19000/84218] loss=0.0932
21-Jan-26 11:27:59 - [Epoch=1 | Step=19100/84218] loss=0.1259
21-Jan-26 11:28:21 - [Epoch=1 | Step=19200/84218] loss=0.0004
21-Jan-26 11:28:44 - [Epoch=1 | Step=19300/84218] loss=0.5829
21-Jan-26 11:29:07 - [Epoch=1 | Step=19400/84218] loss=0.0115
21-Jan-26 11:29:30 - [Epoch=1 | Step=19500/84218] loss=0.0099
21-Jan-26 11:29:53 - [Epoch=1 | Step=19600/84218] loss=0.0106
21-Jan-26 11:30:16 - [Epoch=1 | Step=19700/84218] loss=0.0002
21-Jan-26 11:30:39 - [Epoch=1 | Step=19800/84218] loss=0.0025
21-Jan-26 11:31:02 - [Epoch=1 | Step=19900/84218] loss=0.0050
21-Jan-26 11:31:25 - [Epoch=1 | Step=20000/84218] loss=0.2160
21-Jan-26 11:31:49 - [Epoch=1 | Step=20100/84218] loss=0.0192
21-Jan-26 11:32:12 - [Epoch=1 | Step=20200/84218] loss=0.7547
21-Jan-26 11:32:35 - [Epoch=1 | Step=20300/84218] loss=0.0078
21-Jan-26 11:32:58 - [Epoch=1 | Step=20400/84218] loss=0.0180
21-Jan-26 11:33:21 - [Epoch=1 | Step=20500/84218] loss=0.1043
21-Jan-26 11:33:43 - [Epoch=1 | Step=20600/84218] loss=0.0432
21-Jan-26 11:34:06 - [Epoch=1 | Step=20700/84218] loss=0.8710
21-Jan-26 11:34:29 - [Epoch=1 | Step=20800/84218] loss=0.2467
21-Jan-26 11:34:52 - [Epoch=1 | Step=20900/84218] loss=0.1440
21-Jan-26 11:35:17 - [Epoch=1 | Step=21000/84218] loss=0.1447
21-Jan-26 11:35:42 - [Epoch=1 | Step=21100/84218] loss=0.1005
21-Jan-26 11:36:07 - [Epoch=1 | Step=21200/84218] loss=0.0043
21-Jan-26 11:36:30 - [Epoch=1 | Step=21300/84218] loss=0.1130
21-Jan-26 11:36:52 - [Epoch=1 | Step=21400/84218] loss=0.0153
21-Jan-26 11:37:15 - [Epoch=1 | Step=21500/84218] loss=0.0979
21-Jan-26 11:37:37 - [Epoch=1 | Step=21600/84218] loss=0.0007
21-Jan-26 11:38:00 - [Epoch=1 | Step=21700/84218] loss=0.0116
21-Jan-26 11:38:22 - [Epoch=1 | Step=21800/84218] loss=0.0016
21-Jan-26 11:38:45 - [Epoch=1 | Step=21900/84218] loss=0.0032
